product_id,feature_id
2040387,1
2040387,42
2040387,5
2040387,34
2040387,17
2040387,27
2040388,2
2040388,42
2040388,5
2040388,34
2040388,17
2040388,27
2040389,1
2040389,43
2040389,5
2040389,34
2040389,17
2040389,27
2040390,2
2040390,43
2040390,5
2040390,34
2040390,17
2040390,27
2033962,1
2033962,41
2033962,4
2033962,34
2033962,18
2033962,27
2033963,2
2033963,41
2033963,4
2033963,34
2033963,18
2033963,27
2033964,1
2033964,42
2033964,4
2033964,34
2033964,18
2033964,27
2033965,2
2033965,42
2033965,4
2033965,34
2033965,18
2033965,27
2040391,1
2040391,42
2040391,6
2040391,35
2040391,24
2040391,27
2040392,2
2040392,42
2040392,6
2040392,35
2040392,24
2040392,27
2040393,1
2040393,43
2040393,7
2040393,35
2040393,25
2040393,27
2040394,2
2040394,43
2040394,7
2040394,35
2040394,25
2040394,27
2038799,1
2038799,41
2038799,9
2038799,34
2038799,19
2038799,27
2038800,2
2038800,41
2038800,9
2038800,34
2038800,19
2038800,27
2038801,3
2038801,41
2038801,9
2038801,34
2038801,19
2038801,27
2038802,1
2038802,42
2038802,9
2038802,34
2038802,19
2038802,27
2038803,2
2038803,42
2038803,9
2038803,34
2038803,19
2038803,27
2038804,3
2038804,42
2038804,9
2038804,34
2038804,19
2038804,27
2033974,41
2033974,10
2033974,34
2033974,20
2033974,28
2033976,1
2033976,42
2033976,11
2033976,34
2033976,21
2033976,27
2033977,2
2033977,42
2033977,11
2033977,34
2033977,21
2033977,27
2038817,3
2038817,42
2038817,11
2038817,34
2038817,21
2038817,27
2033981,1
2033981,43
2033981,12
2033981,34
2033981,21
2033981,27
2033982,2
2033982,43
2033982,12
2033982,34
2033982,21
2033982,27
2038818,3
2038818,43
2038818,12
2038818,34
2038818,21
2038818,27
2033985,44
2033985,4
2033985,34
2033985,37
2039882,44
2039882,13
2039882,34
2039882,24
2039882,40
2039883,44
2039883,14
2039883,34
2039883,25
2039883,40
2039885,44
2039885,14
2039885,34
2039885,26
2039885,39
2039886,44
2039886,15
2039886,34
2039886,22
2039886,39
2039887,44
2039887,16
2039887,34
2039887,23
2039887,39
