Model,Category,SKU,Color,Storage,CPU,RAM,Graphics,Resolution,Price,Image
MV962LL/A,1,2040387,1,42,5,34,17,27,"1,779.06",https://www.bhphotovideo.com/images/images2500x2500/apple_mv962ll_a_13_3_macbook_pro_with_1480937.jpg
MV992LL/A,1,2040388,2,42,5,34,17,27,"1,779.06",https://i5.walmartimages.com/asr/1f0fa954-cc1d-4016-b31c-74aeee7d8458.095564315ebd8e92c249c3813e6513dc.jpeg?odnWidth=612&odnHeight=612&odnBg=ffffff
MV972LL/A,1,2040389,1,43,5,34,17,27,"1,988.48",https://www.bhphotovideo.com/images/images2500x2500/apple_mv972ll_a_13_3_macbook_pro_with_1480939.jpg
MV9A2LL/A,1,2040390,2,43,5,34,17,27,"1,988.48",https://www.portableone.com/resize/Shared/Images/Product/Apple-MacBook-Pro-13-inch-with-Touch-Bar-2-3GHz-quad-core-8th-generation-Intel-Core-i5-processor-256GB-Silver-Mid-2018/MBP13-Touch-Silver.jpg?bw=550&w=550&bh=550&h=550
MPXQ2LL/A,1,2033962,1,41,4,34,18,27,"1,307.85",https://m.media-amazon.com/images/I/41I-S9tyOAL._AC_SX466_.jpg
MPXR2LL/A,1,2033963,2,41,4,34,18,27,"1,307.85",https://m.media-amazon.com/images/I/51dD-K5CqlL._AC_SS450_.jpg
MPXT2LL/A,1,2033964,1,42,4,34,18,27,"1,517.28",https://i.ebayimg.com/images/g/ODcAAOSwXXxZPQ5W/s-l600.jpg
MPXU2LL/A,1,2033965,2,42,4,34,18,27,"1,517.28","data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/2wCEAAoHCBISFBgUFRYYGRIYGBgYGBkZHBocGBwcGBgdGh0aHBocIy4lHB4rJBgYJjgmKy8xNjU1GiQ/QDszPy40NTEBDAwMEA8QGhISGjQhJCs0NDQ2MTQ0NDY0NDQ0NDQxNDQxMTQ0MTQ0NDQ0NTQ0NDg0NDQ0NDQ0NDE0MTQ0NDQ0NP/AABEIAMkA+wMBIgACEQEDEQH/xAAcAAEAAQUBAQAAAAAAAAAAAAAAAwECBAYHBQj/xABHEAACAQIDBAcDCAkCBAcAAAABAgADEQQSIQUTMZEGIkFRUmFxFDKBBxYjM5KhscEVQlRygpPR0vAkUzViovEXQ0SDssLT/8QAGAEBAQEBAQAAAAAAAAAAAAAAAAECAwT/xAAnEQEBAAIBAwMCBwAAAAAAAAAAAQIRAxIhMQRBURPBFCIyQmGBof/aAAwDAQACEQMRAD8A7LERAREQES0sBxMt3yeJeYgSRI96viHMRvU8S8xAkiR71fEOYjer4hzECSJHvV8Q5iN8viHMQJIke9XxDmI3q+IcxAkiWb1fEOYlN6viHMQJIke9XxDmI3qeJeYgSRI96viHMSu9XxDmIF8SPer4hzEb1PEvMQJIlm9TxLzEb1PEvMQL4ke9TxLzEGsniXmIEkSxaingwPoRL4CIiAiIgIiICIiBwf5b6+Ip41BvGFF6SlVDELcMQ1wOPZznMfaX8bfaM7Z8vez81DD1wNUqNTJ8nW4+9PvnDoEvtL+NvtGPaX8bfaMiiBN7Q/jbmY9oqeJvtH+spQfKwNyLHs4zedibHwGLWxcGoRpk6rj1pcbjvXOPSbxw6u0qW6aP7Q/jbmY9ofxNzM3faPycVVF6NVH7crdVrf55CaltDZFfDkiojLbttcc5bxZY97EmUvuxfaH8bczKe0P425mR2mS2CqBBUyk0ySAw1Fx2G3A+RmJLWkftD+NuZgYip4m+0f6waL2zZTl4XsbTJ2dgGrZwouyqXt3gcQPOamNt0m2N7Q/jbmY9ofxtzMiMko0GY2UE+kzJb2VelWoxsrMSewEkytY1UOViwbuJPbPaXApSXPSZme1uIGW/E+YnlVMNWqsTlZz2lQxHwsOE3eOyfyumN7Q/jbmY9ofxtzMtNMi9wdOOksnPSJfaH8bfaMe0P42+0ZFECX2h/E3Mx7Q/ibmZFEDMwuOrowNOo6vcWyswN76ds+ttnqwpUw5u4RAx72Ci553ny50HwHtG0MNS7DVVj6Ic5+5Z9WQEREBERAREQEREDUPlS2fv9mYgdqKKg/gYMfuvPmOfYeNw4q03ptqrqyn0YEfnPkLFUGpu6H3kZlPqpIP4QIYiSU6ZbtHxIH4wI5cpI1EycMzKbBVYnsKq1/Tt5TZdmYLEOf8Ah1Nh3stVL69hLgfdN447WTbB2d0uxtHQV3Ze57VB8A+o+BE2jDdNadUBcTRTN2spKmx7cjgr/wBU2bDYWlUH0uECFbHU02ubf8pvpJMXhKd86qA1rXsjWB7sxnswwynuv0er2ePiehGDxSb6g+jajJYfArwnm4PZIwJZXVyjixsLqR3MpuGHrwmwbPxFOi5VCTUPva9W/fkB05T2qu1AVAK5+zgNfg07Y44y7s+yX0+d/T3alRxdGou5SmwBvlUKDr2WtNXwamhVdVpuKjHKpIyqNbNobH/tOnpUwpQmnlp1SpzMFsy+RJAPKaFtrA4p7scz0yDZgeNhqxHZp90mfJJ+134/Q3L37tZfZw39ibqWPDh56zdtnbBpZAQAD3d47z3zTxSakCSCG9CTrrw7L6T0MBiXdQMzE9yg/lOfHnxy3s3+Gsur5bOdmIXsEXKOOg1+EgxdRaYKKAEHYNLeo4GeZU2vUpKVHHs11M8nEbVqnU2t59vOdb6rjnhc+DLHtpfj6tNhltc3uRwXkJ4NegCSRp5WsJUvc3MyaVm0Fp4OblmV8Jx8My8vLZCOyUyme1VCD3rX7pgvWp91z908/VvwcnpscPOUYVoktSrfgAPSRGaeWyS9q6V8huA3mOeqfdpUm+05Cj7g0+gJyv5B8BkwtauRrUq5Ae9aaj82blOqQhERAREQEREBERAT5f8AlNwG42niVAsrMKi+lRQx+8mfUE4X8vWz8uIoVwPfpsjHzptcfc/3QOY0qKMLlwpvaxDE+ugmRhsNhyevXKjyplvuvPOialnwNt2fjsBQIOYuwPvCioA+0STpPbfpvRAyK1QrcG4p01tbynP6Ap/rlvRQPxJ/KZNDG06bBkpgkG/0hzDkAJuc1niR0xuvN1G+Uul2YqwXEMo0uVUrqPCp14iTDH4hgwSjVCOdCyqq2PbYkkGaTW6V4xuFTKO5FVfvtf7559XaddzdqtQnzZv6yz1Gbt18c+b/AI6EuHoU2z4iswPhDWJ8i2hgdIsOTlSndBfUkk/FiSFHrOa70k3Op89Zl4es9RlQuACQoLaKuvGwGnradMfUZfES82O/yyz+2/fpSrUJ3KUzb9UXYn1I4/cNJ51d8UagasQhA4G504HS+s9DY7YLC2XfF3J672sCQeAvwXTsv5z0tobSwtVjkKt2kgEgkdx4Tvcuqd5tvj9RJddWmk7Rp1KagHMyEAhrEC2tgCRqBp/gltDaOKQEB8qsLWKqeA4AkXE2HbXSOhUpvSKWKAZTxuL2IA04Xmp0a28Ns1hp7xsNPWcssZ4xsh9bGd7bfjvpXe3uTe/adf8ABML2ore6Kw7yD+Intq1ND1j9Hb3rcT3CGo0nBCoR5lSAb98zODW8pe7ny8+Wck012pVQ8EK+jE/iJCHI4EgSXEYZk4jTsI4SCefLe+7huxUuTxJlsRMoREydm4U1q1OkONR0QfxMF/OB9NfJxs/2fZuGS1i1MVD33qdc/wDym0SLD0giqo4KoUeii35SWAiIgIiICIiAiIgJzf5cNn7zZ61Rxo1Vb+FwUP3leU6RPL6RbOpYnDVaNYkUnUhiPeW2oYXvqCAfhA+SInRP/D9Bf6ZjqbdRRp2XFzrHzBp/7rfYSBzuJvnzCf8A3R/LH98wavQnFhiFyMt9CbAkd9tbQNRibZ8ysZ4afMR8ysZ4afMQNTktCqVNxb4zZ/mVjPDT5iPmVjPDT5iXwNYq12Y3Y3/CS+2OO3+mk2NOheMB92kfIt/TWSfM/F/7VD7Tf3S9VRqTVSTc6mXmoMoHbfWbQ/QzFn9SkPRuPMmWfMrGeGnzEdVGuUsZUT3WIHd2cjKtjGLBhow7RwPwmxfMrGeGnzEfMrGeGnzEvVl8rtr1THO3EjXymKTNr+ZWM8NPmI+ZWM8NPmJLbfJtqcTeKHQSqVBd1VtbgKGA101zC+nlMml0BFuvVN+zKij8SZkc+m5/JPs/f7UoeGnmqt/Apt/1FZ6I6AJ/ut9hJvnyX9FKOEepVzs9crkAyhVVCb3Fr3JIF/wgdLiIgIiICIiAiIgIiICYG2vqH9B+ImfMPa4+hf8Ad/MQNDxeKpUab1ahIpoAWIW51IUWF9dSJ49Xpbs9TZt+D50h/fM7pNU3eCrtlVrKos6hl1qINVbQ8ZzTZ+MDVqKtSw5V6iKwNCmAQ1QKQCFvwJ10lRvq9LNnFGfPVsrIpG71u4ci3WtayN2ytHpTs52y56oOR31p6WRC54OdcqmaGNrdVgKVAKWUkCjSy3AbKfd4gFrepmXV2iqVFyUqKk0EPVo02Jz4dSw1U6EMwPYAe6Ubb87dnWDFqoUki+7HZa+ge/bJK/SbAI7oXqE02ZWIpi11YqbXcEi4M0h8eu5ptucPc1Ky/U0zoiUSNMtv1z2a6Sb9Ih/aWelRZwucs1FFYsa6KWYZeJznQ31MDcT0m2f1LPUJdS6gUwNA7ob3cAG6NKHpPs/IXz1bK4Qjd65mVmH69rWRu2ajs/aIqVsOjU6JW6oBuaa2Uu1wpCg2uWNweJPnMJNq/RW3dHIXUldxTyFspsb5feAJ07iZBvlDpPs9ywD1QVR3N6fYi5jaznWwlqdLNnsVGaqMxABNMW1NtevNSxm0t3VfJSpC9JM2WjTbR6KMwJKk5TmPwkbY9Vp0HFKgGL1NRRpn3WSxAy2uL9g1gblV6U7PRnUvVujFWtTFrhiul3udRLq3SbAIUGeqS6K4tTHBr2uS4sdDNMGPVkxDvSolwUJJo0wbtUsSRl4m54gyTBbS3lamHpUjZSFvRRbKqMVClQDl00se+Btvzo2fu95nq5c+S271vlDeK1rHvl1PpLs9s/XqA00LtemOAZV0s5ubus0I7WO6y7uju8xa24p5c2Xj7vG33TNx+0t3WrIlKiBYqwFFDdBlNmJUm2gOvcIG30OlOz3dED1QXZUW9MWuzBRez6C5ljdLdnC/Wq9U2P0Y8+HXv2TUH2mKaYdlp0VazuGFKmSGWqwBAIsCMo4WkabRVqVVjSoE7ykL7qn+uKpNwFsTdBxBlG8VOk+z1YLnqEsiOLUxazoHGrONbMJb87NnZFfNVszsgG7610CE/rWt107e2abhtqCpUGanRYik9iaNMEZKDFR1QDYZAPQTzDtZyoUpQyAlgNxSsCwAJ9ztCryEaHUNmbdweJdqdIvvFQuQ6ZRlBANiGOvWE2zovbePbwf/AGE5X8n+MNTEupSkL0XJZKaI2jp+soBtrw8hOr9GFs7/ALo/GSjZYiJFIiICIiAiIgIiICYm0/qn9PzmXMXaX1T+n5wOd9K8gwNfOrMmVbhWCn31tZirAa2PA8JyvC4nD03RxSqko6OAa6WJRgwBtRva4nVuliK2Brh3yLlW7ZS1rOpGg1NzYfGcprYSgT9eqW0I3VXiON81yDLESUaeEZHcpWXK9NQorIQc61Dc3o30yEfxTMthari6VkK0SNKqarRw5t71L9ZUsT5mQ4HA0KitQXEjeVKlMqTSqBOotUEE8RfeDs7JdhcPSDZnxQI3dRBam5PXpMi6aaAvf4Six2wm6RDSrBVd3Db1bkuqKwuaVuFJfvk9cYWm2Ip5Kz3LU2c1UvZKytm0pWBLIvG/GQYnZKoTSfFrZTwCVCozC9wDbXWT7R2fTZ3qrilFOu9RwClTNbeE2YcBY+fZArQOGpPh6ipXdgodVaqpAy1HTKAtK9roTpbjMdcNhNwzBa9hURMu9S2qOQ31XEZSPjJ32fSanTdMUAaKKjHI4OZ6tVwVtfSz21twlMNs2k9JqIxK7wuKgJpvly06VQsCRrezX4dkC8nC1qjsUrodySQtVdRSogAHNSvYqg53kObCOtKmadYKrvlYVUuc7Lm40rG2UWt8YweFooXZ8SDmpVEFqdQkF0KAnyF/uhtlU6VUI+JX6N+tZHI6rDNa9u6BdU9lp7+lkrMGcKzGqtxkckHSlYEka3vJR7LQqUnCVnO6VgGqpYB1ZcvVpXsLmQ4/Z9MuzjFKErM9QDJUvl3rgBtLXBVuHd5yTF4GlUVHTEqBTSlRa6VAcxDm4t2EI3b2ecCA4XB+z5rV8pqFMu9p20QHN9Vx1tMmp7NWeu7JXRshdlWqgB6yJl61K4BzXllLZ1J6O6GJXOHesSUfLlSlqLjXNZCeEswuGpDel8SCz0igO7qGxLowJ8rJbTvgXUlwlU4ekadZVzbtXFVbnPVuTrSsSC54WkYbCKlSnu6pDOhJNVcwKZwtrUrcGa9x3S+hs6nRrpnxIIo1VzBUqH3Kl2C3txIPOWYnZFMW/wBSh3nXX6OpfLmdQDpodDoO4QJVXCUqikJWYmiD16qWAq4fUC1PsVyB6D0mIy4WmiVESvmL1E+tpgAIiG99zxO8t8Jk43A0SFqjEqUVKVEhqb3zrQCXsLi3UY3vMVqGHNJE9p6y1Kjn6KpazpTUWPeN2ecDZugFWm2LcBKm8FBxmeoriwdLiy007SNbzq/Rwdd/3R+M5P8AJ5QpDFVGSsHY0X6gR10Lpc3bSw00851no977/uj8ZKNgiIkUiIgIiICIiAiIgJi7S+qb0mVMXaP1TekDn3S2g1TA4hEtmKra7Ko0dSbsxAGgPEzlf6Jb/KuF/wD19Z1Hpp/w/E+SoeVRJxyqVW3XQ/unh63EsR7Gxdm1Ur02fdqoa5Y16Fhoe55jrsjFmn7lMrmtnFWh72X3c2e3naeVvB3ieklW2ELDh7QBfsvuibXlHqbT2biWr1WprTdCg1FWiQFCKC3v6WI4yypszElMOEWm9QF7oKtEm5qXUEZ9bjsEw9nYkM1fJeww9RvMAZdTqbSLZuKBrUAL5t6gbXQ3qLa3wgehS2ZiBSrhlpq5enZN9QB6rPmAGfS1xpLsBsrFLVUuqIN04BarRUENh2RD7+uYlde2955GJxID1Ab5s5A8rMbg6+nKZW0cQFelnBscNQa17E3pC3wvAPsjFmnbd08pZgH3tDVsouubPbS4NvOZ209m4lq9dkWm9Ms7ZhUokBS2jA5+r7w1PeJ5zVz7Kja29oqi/wD7dE8Zdhq4YYkoGyCjcX1IHtFDiYGVW2RiWGHVFpuwQqUFaiTmOIquFID3JKunDvlqbLxG4qAimHNWiQu+oXsqVwxAz8AXTnMfY+JVsRhlUNm31INre5zrwHOYSYpQhBDby+hvYAaaEcb6HnA9rC7LxQqNvFp0yaFYAGrRUXfDuq2Gf9YsuvneYZ2NiyqnIgUlgH3tAAnS4vnsbXHpeR7SxBSoAdDucPow78LT7O/u84xGIIw9Fuw1cRY9hstDnAztpbIxL1sQ6KjU947Blq0cuVqhKsTn0BuOPaZXGbIxL7hUVHYUVUqtWiTmz1GK2D8bMp0mFhcQTSxLdgRCSOAviKfIS7YmIL4igoNzmUWHqT8e/wD7QJv0dW9nK3p598jZd/QvlCOCff4XYTDTZVW/WCW8q2Hv99SeZTqjKNRwEvV1Jtcc/v8ASBvvyebPenincgZNw4Jz0nNy6W6qMxtodZ1no977/uj8Zx35NFAxj2ZW/wBO9ytyBd004eU7H0f99/3R+MlHvRESKREQEREBERAREQExdo/VN6TKmPjR1G9Pzgc96W1np4HEOjMjhUsykqwvUUGxGo0J5zmGy9q4sYiirV6/11IFWqPqC6gggtqCD987hitnUqyNTdA1NwAyngbEH8QJ5lDoXs+m6utBQ6sGU3JsVNwde4iVHG02jjW629xLA3NxUq29bhplbQ2njGdctbEG1DDEhalS3WoISTlbiSSb9tzOsHoNs0/+nXmQOQ4SWr0L2e5BagpIVU7R1UUKo07gAPhGxyGttXGGjTArYgNvsQLCpUzWWnhyAdbkDMxsfEe+XbM2jjBVp5qmJ+tpC7VKuUfSKCCCbNe9rGddPQvZ5QJuFyKzMBrozhQxvx1CJ9kS2j0J2ejBloKGVgVNybEEEGx04gco2OM4rbGKzv8A6iv77/8Am1PEf+aQ/pnFftOI/nVP7p2x+gmzmJY4dLkknU8SbngZb8wtm/s6c2/rLs04r+mcV+01/wCbU/uj9MYr9pr/AM6p/dO1/MLZv7OnNv6x8wdm/s6c2/rGzTin6ZxX7TX/AJtT+6P0ziv2mv8Azan907X8wtm/s6c2/rHzC2b+zpzb+sm4acl2htXGO2lXElt3hjmWpVsL4amSMqm1yWJv5+cYDaeMVa+atiB/p2IzPU472kLrmOhsxFx3zr1foTs+obtQQnKq9o0RQiiw00VQPhFLoVgEzBaCgOpRuJupINtfNVPwjY5Ds7aWNGIo5quJVTWoghqlXKbuoIOZtb66GYdbbGKzOfaa4OY6b2prcnhZrC07RR6FbPVldaCh1IZTcmzKbg69xAlj9BdmkknDrckk6nifjGxybH7YxBdfp8ST7PQNld+3DIxbRxc3JYm3feRVts4n2enbEV/rq+pqODpTw9hcMSQMzG1+0zsFfoXs9yC1BSQqoOI6qKFUadwAHwlrdC9nlAm4XIrMwHczBQxvx1CL9kRsaH8nW0K1TFuj1qjpuHNnd2UkOgDAOdOJ7L6zrewB12/dH4zyNmdGcHhXL0aSo5UoSL3ykgka+g5T3tlUwrmw/V/MSUetERCkREBERAREQEREBIMZ7jen5yeQ4r3D/nbA8kLLwsKskCwi0LLgsuCy8LAsCwq8fX8hJAsoq8fX8hApllcsvyyoECPLGWSWlcsCLLGWS5ZS0CPLKZZLaUywIFXSCslVdJQrAhKy0rJyssKwISsydnDrH0/MSErJ8COsfT8xA9CIiFIiICIiAiIgIiICQ4n3DJpFiPdMDAUS8CUEvEIBZcBAl4EC0CEHH1/IS8Sidvr+QhVbStpWIFLRaViBS0WlYgUtKWl0QIkGkES5eEqRAiIlpWSES0iERsJLgh1j6fnLGkuE94+n5wMuIiFIiICIiAiIgIiICR1x1T6SSIHmKZIDMk4ZO6Nwv+GEQAy4GTbhZXcrCogZargX17fyEn3SxulgRZx3jnGcd4ku6XujdL3QIs47xzjOO8c5d7MveecezL58zAtzjvHOM47xL/Z18+cqtFRpr8YEecd4jOO8c5Lul7o3S90CFDpKkybdiU3QgY5MtJmVuVlNwsDEYyXCe8fT85L7OvnzklNAosIF0REBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQEREBERAREQERED/9k="
MV902LL/A,1,2040391,1,42,6,35,24,27,"2,354.97",https://i5.walmartimages.com/asr/7fc4c11c-6d65-4240-b390-ab776fb82171.15567f6644e83dc7597c024523be4264.jpeg
MV922LL/A,1,2040392,2,42,6,35,24,27,"2,354.97",https://i.ebayimg.com/images/g/tDIAAOSwBrReNtQI/s-l640.jpg
